win,loss,sure,key_press,gamble_side
0,-12,-0.8,80,L
6,0,0.6,81,L
0,-10,-4,80,R
0,-6,-0.4,80,R
0,-10,-0.2,81,R
2,-6,0,81,R
0,-6,-4,81,L
6,0,2,80,R
6,0,1,81,L
12,0,0.8,81,L
0,-10,-1.2,81,R
0.4,-0.6,0,81,R
6,0,0.4,81,L
0,-8,-1,80,L
0.2,-2,0,80,L
4,-6,0,80,L
2,-10,0,81,R
6,-8,0,80,L
0,-8,-1.2,80,L
4,-2,0,80,L
0.8,-1.2,0,81,R
0,-12,-1,81,R
8,0,4,80,L
8,-2,0,81,L
6,0,0.8,81,L
6,0,0.8,80,R
0,-6,-1,81,R
12,0,0.8,80,R
0,-6,-0.6,81,R
0,-6,-2,80,L
0,-12,-0.6,81,R
0.6,-1.2,0,80,L
10,0,0.8,81,L
8,0,-2,80,R
0,-8,-4,81,L
0,-10,-0.6,81,R
0.8,-12,0,80,L
0.6,-0.4,0,80,L
1.2,-6,0,80,L
-1,-8,0,81,R
6,-0.4,0,80,L
6,0,0.8,80,R
0,-10,-0.4,80,L
0,-6,-0.4,80,L
0,-6,-2,81,R
